Company,Date,Tweet,username,userLocation,followersCount,friendsCount,statusesCount,favouriteCount,GeneralScore,LMScore
$HD,11/29/2018,b'RT @Greenbackd: Joel GreenblattaTMs Gotham Asset Management Top Ten Positions at 9-30-2018: \n\n1. $WMT Walmart\n2. $AAPL Apple\n3. $VZ Verizon\n4a',王盖茨  AS138445,"Bunkyo-ku, Tokyo",5943,340,2145,6197,0,0.066666667
$HD,11/29/2018,"b'As Cardinal Health $CAH Share Value Declined, Keystone Financial Planning Lifted by $937,296 Its Holding; Home Depoa https://t.co/TjM31IlLRQ'",Batou,Paris,3217,2513,31808,8118,0,-0.071428571
$HD,11/29/2018,b'$HD  Shout out to SA Contributor Nicholas Ward for using #performance #historical #fastraphs in his article:a https://t.co/yctl2QkQH2',和,日本 北九州,69,71,6613,9452,0,0
$HD,11/29/2018,"b""Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/6ODCrlzz2T $TGT $LOW $LB $HD https://t.co/56GPCUJEkj""",伊達邦彦,東京,886,1076,78189,7115,-0.1,0
$HD,11/29/2018,"b""I'm expecting a bounce in retail stocks once the market realizes holiday spending is strong. I like $TGT $HD anda https://t.co/0CzA5r5IZg""",Steven Latham,"New York, NY",208,1005,497,4128,0.266666667,0.076923077
$HD,11/29/2018,"b""Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/9ZfqJ3AmBZ $TGT $LOW $LB $HD https://t.co/kSZJpQ1lsi""",m,,1,59,454,0,0,0
$HD,11/29/2018,b'Home Depot  $HD Shareholder Private Trust Co Lifted Holding; Teachers Retirement System Of The State Of Kentucky Loa https://t.co/eKsxKLW7tN',NastyIam#57,United States,3901,5000,128347,26092,-0.1,0
$HD,11/29/2018,"b'Centerstate Bk $CSFL Holder Seidman Lawrence B Cut Its Holding; As Home Depot  $HD Stock Price Rose, Clifford Swana https://t.co/Ta8kQ9aoyW'",ばくれつとしたん@アル中妄想部部長&日本ふーらんらら協会員,shizuoka ,672,1080,37242,26069,0,-0.066666667
$HD,11/29/2018,"b""Week's Most Significant Insider Trades: Week of November 19, 2018 $AAL $AAPL $CHD $FL $HAS $HBI $HD $K $PSX $VTRa https://t.co/GSCvEj4PAf""",AlexandriaJSnowdon,"New York, USA",9,46,41,0,0.0625,0
$HD,11/29/2018,b'RT @Greenbackd: Joel GreenblattaTMs Gotham Asset Management Top Ten Positions at 9-30-2018: \n\n1. $WMT Walmart\n2. $AAPL Apple\n3. $VZ Verizon\n4a',きえちむ,,1160,4983,134399,2283,0.285714286,0.066666667
$HD,11/29/2018,b'RT @Greenbackd: Joel GreenblattaTMs Gotham Asset Management Top Ten Positions at 9-30-2018: \n\n1. $WMT Walmart\n2. $AAPL Apple\n3. $VZ Verizon\n4a',色々考えてもやはり人間,広島 広島市,11,266,2260,29,0.133333333,0.066666667
$HD,11/29/2018,b'RT @Greenbackd: Joel GreenblattaTMs Gotham Asset Management Top Ten Positions at 9-30-2018: \n\n1. $WMT Walmart\n2. $AAPL Apple\n3. $VZ Verizon\n4a',History Books,,8537,8691,18147,16678,0.333333333,0.066666667
$HD,11/29/2018,b'Joel GreenblattaTMs Gotham Asset Management Top Ten Positions at 9-30-2018: \n\n1. $WMT Walmart\n2. $AAPL Apple\n3. $VZ Va https://t.co/PoQz85Ik8P',MISS_METΛVERSE,"New York, NY",6206,2131,9748,5582,0.2,0.071428571
$HD,11/29/2018,"b'Partnervest Advisory Services Increased Its Amazon Com $AMZN Position by $324,700; Market Value Rose; Crystal Rocka https://t.co/pFjxqnMwOJ'",Aracely Salazar,USA,14,250,2337,31,0.133333333,0.071428571
$HD,11/29/2018,b'Shareholder Oceanic Investment Management LTD Has Increased Capital Product Partners LP $CPLP Stake; As Home Depota https://t.co/OvMUkG9gKi',ソルトミ,瀬戸町,569,149,137552,20206,0,0
$HD,11/29/2018,b'Home Depot Inc: Heavy volume for Home Depot (The) stock. $HD https://t.co/JByrq6l9Oq https://t.co/bQ5zrArUlx',⚓️Ryu,,15,162,604,282,0.090909091,0
$HD,11/29/2018,"b'Home Depot Is Starting To Look Attractive Again https://t.co/Ln1fp0KqJ4 $HD, $AMZN Great Dividend Stock BUY HD!'",ねむねこ,静岡県東部のどこか,1,32,919,7,0,0.181818182
$HD,11/29/2018,"b""Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/TbfBaIVfRz $TGT $LOW $LB $HD https://t.co/FD0diTnO35""",みたらし団子,,16,99,497,12,-0.083333333,0
$HD,11/29/2018,b'How many times do you think Powell will raise rate in 2019? $SPY $DIA $UCO $GLD $IWM $XLK $XLE $XLF $XLY $XLP $XLVa https://t.co/SPJhfkOZZV',ご当地送料無料,,319,402,105693,0,0,-0.052631579
$HD,11/29/2018,b'Home Depot INC $HD Position Has Raised by American International Group Inc - https://t.co/aYnbiQ7vnP',やっしー,東京都,1486,2215,165497,22018,0,0.1
$HD,11/29/2018,"b'As Home Depot INC $HD Market Value Rose, American International Group INC Has Upped by $11.30 Million Its Holding - https://t.co/GO7YUwK1KX'",とおる,"大和市, 神奈川県 JP",770,853,64971,2110,0.1875,0
$HD,11/29/2018,b'American International Group INC Holds Holding in Home Depot INC $HD https://t.co/XAqt3ztphF',ソルトルアーフィッシング,銀河系,128,127,4414,11569,0.083333333,0
$HD,11/29/2018,b'Home Depot INC $HD Shareholder American International Group INC Raised Holding by $11.30 Million - https://t.co/VtYCBc4HTo',江頭,県北部(自宅から40分),193,506,2326,1038,0.133333333,0
$HD,11/29/2018,b'$ABT $ALL $C $CVX $GE $MET $HPE $HD $V $MA $NKE $MELI $ATVI $VRSK $FISV $ASML $INTC $TTWO $MU $ADBE $SNPS $CHTRa https://t.co/8qx37t9TzU',kazu,,2,36,164,0,0,0
$HD,11/29/2018,"b'MACD(12, 26, 9) Bull Crossover Stock: $ABT, $CSCO, $CVX, $ET, $FCX, $HD, $LOW, $MU'",T.Lindsey-Billingsley (Author),"Pittsburgh, PA",2181,4960,451,1768,0,0
$HD,11/29/2018,"b'$IVST Float 11,796,710 as of 08/16/2018 $IBB #Biotechnology #FDA #biotech $GILD $BMY $JNJ $MRK $NVS $PFE $BSX $CAT $HD $NVDA $GOOG'",モル,,1,29,59,0,0,0
$HD,11/29/2018,b'What Jerome Powell said yesterday to cause a stock market rebound. https://t.co/LnHRmxOFrV via @YouTube\n\n$cl\n$esa https://t.co/ZpQiQPmcxy',鈴の木,"Yenişehir, Türkiye",1,48,1150,0,0.166666667,0.076923077
$HD,11/29/2018,"b'$IVST Float 11,796,710 as of 08/16/2018 $IBB #Biotechnology #FDA #biotech $GILD $BMY $JNJ $MRK $NVS $PFE $BSX $CAT $HD $NVDA'",Daniel Nickle,"New York, NY",645,1295,1743,205,-0.125,0
$HD,11/29/2018,b'RT @PennyStockGang: $IVST Innovest Global Announces Elite Biotech Team https://t.co/9SnhhDqwnX $IBB #Biotechnology #FDA #biotech $GILD $BMYa',Zippylab,Città Metropolitana di Milano,9094,7133,618263,11,-0.142857143,0
$HD,11/29/2018,b'RT @PennyStockGang: $IVST Innovest Global Announces Elite Biotech Team https://t.co/9SnhhDqwnX $IBB #Biotechnology #FDA #biotech $GILD $BMYa',色々考えてもやはり人間,広島 広島市,11,266,2261,29,0,0
$HD,11/29/2018,"b'$IVST Float 11,796,710 as of 08/16/2018 $IBB #Biotechnology #FDA #biotech $GILD $BMY $JNJ $MRK $NVS $PFE $BSX $CAT $HD'",☃️🎄,header: @Akaki_4207 pp: trcoot,65,207,4180,20006,0,0
$HD,11/29/2018,b'$IVST Innovest Global Announces Elite Biotech Team https://t.co/9SnhhDqwnX $IBB #Biotechnology #FDA #biotech $GILDa https://t.co/Ow7RNlbetr',ががが,日本 福岡,34,142,148,143,0,0
$HD,11/29/2018,b'$IVST Innovest Global Announces Elite Biotech Team https://t.co/gj5PQR54ty $SPY $AAPL $NVDA $BIDU $FB $HD $CAT $MSFT $INTC $BAC',ペトロニウス,United States of America,1730,1328,41985,17331,0.117647059,0
$HD,11/29/2018,"b'Rockland Trust Co Trimmed Its Home Depot $HD Position; Cognios Capital Lowered Ca $CA Stake By $339,150 https://t.co/82bzAVa9id'",すずなり たま🍒,福岡市,826,247,32418,45865,0.176470588,0.090909091
$HD,11/29/2018,b'Microsoft $MSFT Shares Rose While Academy Capital Management Cut Its Holding by $3.08 Million; Mathes Company Cut Ha https://t.co/hDwn0nqxoe',carina,,150,303,3180,1145,0.066666667,-0.133333333
$HD,11/29/2018,b'Commented on $HD - Home Depot Is Starting To Look Attractive Again https://t.co/c2DW0hx1Ll',P.DOT,"Malaysia , Graphic Designer ",1126,960,80362,16947,-0.1,0.142857143
$HD,11/29/2018,b'$HD - Home Depot Is Starting To Look Attractive Again https://t.co/hehntpJ8Xx',✂あくび⭐,,107,220,19478,7110,0.071428571,0.166666667
$HD,11/29/2018,b'$HD - Home Depot Is Starting To Look Attractive Again https://t.co/LB3dXJojZO',Medical Crystals,Chicago,84,457,598,66,0.266666667,0.166666667
$HD,11/29/2018,b'top Dow 30 gainers Wednesday  $DIA - $BA $UNH $CAT $AAPL $V $HD $GS $MSFT $MMM $MCD $AXP $IBM $JNJ $WMT $NKE $CVXa https://t.co/uOQtXGGLri',お買い物Web.com,,45,39,350207,0,0.125,0
$HD,11/29/2018,"b'Colonial Trust Advisors Boosted Its Home Depot $HD Holding by $386,295; Wealthfront Stake In Netflix     Com $NFLXa https://t.co/eWS3WazBNV'",Zo Bamba,"New York, NY",775,801,59180,13320,-0.090909091,0.076923077
$HD,11/29/2018,"b'Alpha Ai Case Study: Week in review. - 26 Long Signals, 0 Short Signals. See how they did! YTM $FB $JPM $GOOG $IWMa https://t.co/p58TNlE8yk'",鳥海山(出羽富士),,147,67,16945,42745,0.142857143,0
$HD,11/29/2018,b'Webster Bank Upped Its Position in Home Depot $HD as Stock Value Rose; Chunghwa Telecom Co LTD $CHT Position Maintaa https://t.co/9uEg1f49zb',IT関連洋書 新刊・売れ筋情報ボット,,10,1,5967,0,0,0.133333333
$HD,11/29/2018,b'price x volume leaders Wednesday - $AMZN $AAPL $MSFT $NFLX $FB $BABA $CRM $NVDA $AMD $GOOG  $GOOGL $BA $ADBE $BACa https://t.co/Ascsu643DG',Computer books,,12,1,4342,0,0,0
$HD,11/29/2018,"b""Week's Most Significant #Insider Trades: Week of November 19, 2018 $AAL $AAPL $CHD $FL $HAS $HBI $HD $K $PSX $VTRa https://t.co/SLtJgIvI66""",Lecturas Recomendadas,,443,400,10455,10294,0,0
$HD,11/29/2018,b'Financial Survey: Home Depot $HD versus Latitude 360 $LATX https://t.co/6upleTUtXo',Strong independent gingers don't need souls!,Ginger Home World,92,193,9028,19782,0.2,0
$HD,11/29/2018,b'RT @ARiquier: Rosy outlook for home improvement industry as Americans- and our houses- age. H/T @Harvard_JCHS and @buildzoom https://t.co/6a',IT関連洋書 新刊・売れ筋情報ボット,,10,1,5968,0,0.111111111,0.083333333
$HD,11/29/2018,b'Sign up for Profectus Systems and beat the market $INTC $WDC $STX $SPY $QQQ $DIA $SPX $VIX $XIV $SVXY $UVXY $DGAZ $UGAZ $PEP $KO $HD',yumnyanko☆,日本,145,1394,7404,15275,0,0
$HD,11/29/2018,b'$MR $DOM\n$ONE $AIR\n$EAT $MR $HD',Computer books,,12,1,4343,0,0.071428571,0
$HD,11/29/2018,"b'The Home Depot, Inc. (NYSE:HD) MF Rank Touches 2587 on the Quant Scale https://t.co/5ZHcMWiog0 $HD #stocks #stockmarket'",Валентина Ильянкова,Беларусь,4,47,160,3,0.153846154,0
$HD,11/29/2018,b'very good for $HD #HD and $Low folks stay put and remodeling old caves Y https://t.co/larXMFek1M',Patricia Dorfman,nyc,69,144,2,1,0.357142857,0.1
$HD,11/29/2018,"b""RT @Investingcom: If you're looking for dividend growth stocks to build wealth and protect your portfolio then these 2i a are definitely wora""",Pattie Shannon,,118,190,3,0,0.1875,0
$HD,11/29/2018,"b'https://t.co/i04xAEPEWO Learn How This Student Turned $15,253 into $3,126,487  Using 3 These Simple Trading Patterna https://t.co/h5tnOVvtkD'",すぅみん,,276,1922,22689,1615,0.133333333,0
$HD,11/29/2018,b'ACTIVE TRADERS Try one of these FREE trading guides:\n\nhttps://t.co/c4Ozs042Py\n\n$NFLX $TSLA $AAPL $HD $GS $FB $AMZN $GOOGL $NVDA',Steph Meyer,St. Louis,396,693,1621,293,0.153846154,0
$HD,11/29/2018,b'RT @littlecarrotq: $HD has some interesting things in common with $GE and $GMYY14 https://t.co/JYS9KpT2tq',surtada,na merda,230,279,11915,3309,0,0
$HD,11/29/2018,b'RT @VolatileOptions: Watchlist for 11-29-18: $CAT $BIDU $HD $TSLA #stocks #stockstowatch #Options https://t.co/MCBBB0DaYe',Susan Sternberg,,1066,1637,101389,157457,0.058823529,0
$HD,11/29/2018,b'@Quarry_Rock Looks like you had a great day. Nice! Was out due to work but would have only caught $HD if I was playa https://t.co/id4V09SmYL',結月マルルゥ大佐@初代ラーメンVツイッタラー@D.I.N.S.I.S.N社代表アークス,ラーメンVツイッタラー　兼　D.I.N.S.I.S.N代表,3114,3657,11903,36759,0,0.090909091
$HD,11/29/2018,b'Will the US $ weaken futher? $SPY $UUP $DIA $UCO $USO $GLD $XLK $XLE $XLF $XLP $XLY $XLV $XLB $XLI $XLU $JPM $BACa https://t.co/69ZYpXr9VW',整体・リラクゼーション 時間の居間 〜ときのへや〜,豊橋市柱五番町９４ー１（駐車場有り）,196,143,292,7828,0.142857143,-0.095238095
$HD,11/29/2018,b'Watchlist for 11-29-18: $CAT $BIDU $HD $TSLA #stocks #stockstowatch #Options https://t.co/MCBBB0DaYe',遊喜お爺ちゃん,色んな沼,102,203,20021,20146,-0.066666667,0
$HD,11/29/2018,b'Price Moves vs Expected Moves $HTZ $AMZN $NFLX $HD $WMT $DIS $BABA $DLTR $SBUX $TGT $BBBY $TIF https://t.co/T6y5z4l70A',ポール,,40,102,282,35,0.111111111,0
$HD,11/29/2018,b'Home Depot Prices US$3.5bn Bond While Weathering Sluggish Housing Market $HD Also $DHI $MTH $TOL $XHB https://t.co/Ixw4PRFvZ7',Sandy Lynn Ralph,"Bexhill, England",3428,4972,261312,31461,0.214285714,-0.066666667
$HD,11/29/2018,b'$HD has some interesting things in common with $GE and $GMYY14 https://t.co/JYS9KpT2tq',Papa⭐⭐⭐,visit arkancide.com,2098,2757,2986,669,0.166666667,0
$HD,11/29/2018,"b""Week's Most Significant Insider Trades: Week of November 19, 2018 $AAL $AAPL $CHD $FL $HAS $HBI $HD $K $PSX $VTRa https://t.co/0czR6ysXcc""",あんず\(๑・ω・๑)/ ✳crew✳,浦島坂田船、すとぷり、AtRが特に好きです！,25,143,998,1164,0.2,0
$HD,11/28/2018,"b'Wed. Nov. 28, 2018\nTop 5 stocks..\nUp:\n$SAVE $NFLX $HD $ASNS $LOW\n$AMZN $CRM $BURL $GOOGL $BA\n$ADBE $NFLX $W\n\n&amp;\n\nDowa https://t.co/CtjEhBHAvh'",ゆずなo( ˃̵ᴗ˂̵ )o私からしてあげる,,52,643,343,45,0.142857143,0
$HD,11/28/2018,"b'The #HomeDepot Inc. ( $HD ) Stocks seek more gains, one of the Best U.S. #ConsumerStocks. https://t.co/PqeoEAh4BE'",人気商品予約・販売再開情報,,7541,14,473845,1047,0.076923077,0.222222222
$HD,11/28/2018,"b'5 Best U.S. Consumer Stocks https://t.co/foY1SXgTRg $DIS, $SBUX, $VFC, $HD, $GNTX'",コロンのパパ,,109,444,45128,81,0,0.125
$HD,11/28/2018,b'Cincinnati Insurance Company Has Upped Its Analog Devices Ord $ADI Position; Jefferies Group Cut By $28.97 Milliona https://t.co/L02N1v4pnF',T.Lindsey-Billingsley (Author),"Pittsburgh, PA",2181,4960,451,1768,0.1,0
$HD,11/28/2018,b'Largest $Notional Sell On Close Order Imbalances $AET $IT $HCA $C $HD $ZAYO $USFD $RPM $BAC $RTN https://t.co/V7Aciy2vFa',おしとやかパナソニック,,12,102,2063,11061,0.066666667,-0.142857143
$HD,11/28/2018,b'Made $20k today. Thanks to the option trades from https://t.co/dUZ5RTtMna $HD $BZUN $AAP $CRON $CSIQ $TPR $EAT $CAEa https://t.co/Ojj0oWh58F',Вилл,"Ystrad, Wales",12,444,117,81,0,0
$HD,11/28/2018,b'#estate asset watch - price x volume leaders today - $AMZN $AAPL $MSFT $NFLX $FB $BABA $CRM $NVDA $AMD $GOOGa https://t.co/vRLTFyLTgM',Elite Family,Global ✈ ,33149,18972,356991,1268,0.166666667,0
$HD,11/28/2018,b'#estate asset watch - top Dow 30 gainers today $DIA - $BA $UNH $CAT $AAPL $V $HD $GS $MSFT $MMM $MCD $AXP $IBM $JNJa https://t.co/RyHcnvl83Y',なん,,176,1649,12688,3535,0,0
$HD,11/28/2018,b'and i saw $HD at 9:45. smh. was like perfecto. No execution.',1025,,6,92,529,4,0,0
$HD,11/28/2018,"b""Did'nt take $AAPL or $HD calls yesterday, miss the $GBTC bounce. poopy.  Only play left for me im waiting on is oila https://t.co/e5opQkuNVQ""",kasutera014,,303,2627,18818,1904,0,-0.071428571
$HD,11/28/2018,b'Trade Alert - Exit - HD\n\n49.57% gain on call options\n\n$HD',HSolferino,Donaumonarchie,50,553,19026,1928,0.111111111,0
$HD,11/28/2018,b'Had an awesome long entry on $HD 3 contracts and once Powell started speaking it started to spike. Ended up going ua https://t.co/5YgKm9roAz',⚓️Ryu,,15,162,606,282,0.066666667,-0.083333333
$HD,11/28/2018,b'$HD Took 1/4th off @ 176 for 2.4% gains. Holding final 2/3rd swing now',モル,,1,29,60,0,-0.090909091,0.166666667
$HD,11/28/2018,b'$HD sold my payday shares for some great coin.  Holding full swing &amp; in time might get to place some in the let it ride folder.  Stop raised',よもぎん(うぃうぃ。),岐阜県、愛知県,2313,1753,31336,29061,0.166666667,0
$HD,11/28/2018,"b'Highlighted $HD yesterday; https://t.co/EN6Tdle1g2, moving well today(+1.7%), opened long this morn($172.01), surea https://t.co/ArtJMpLDwX'",Jnetts 👑,,101,268,2035,411,0.2,0
$HD,11/28/2018,b'Wow these $HD allready 4.06 from 2.21 Y   @pappystar deserves credits for bringing this to my attention Y S',The Wall Street Bull,New York City,2127,1178,137637,143054,0.125,0
$HD,11/28/2018,"b""which event will provide the next market drive after Mr. Powell's speech? $SPY $DIA $UCO $GLD $IWM $XLK $XLE $XLFa https://t.co/yrEFxbmey5""",YU,,1,23,46,159,0.222222222,-0.058823529
$HD,11/28/2018,b'$AAPL $AMZN $ADBE $MSFT $HD Welcome back. Dow +500 now.',Karena Curry,Salvation Army,182,205,10,0,0,0
$HD,11/28/2018,"b'$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 milla https://t.co/LRnVAgiXap'",#follow ラーメン,Tokyo,10697,13244,260904,0,0.235294118,0
$HD,11/28/2018,"b'$GRWG The Company had $14.3 million in cash and cash equivalents at September 30, 2018 #Hemp #Cannabis #Hydroponicsa https://t.co/Hi3IRSLuF8'",Lecturas Recomendadas,,443,400,10456,10295,0.076923077,0
$HD,11/28/2018,"b'$GRWG YTD revenue of $20 million, up 86% compare to YTD revenue of $10.7 million for 2017 #Hemp #Cannabisa https://t.co/nzfdHqU120'",Omar Baba 🇵🇸 🇾🇪,Cool Places,388,40,43802,143630,0.125,0
$HD,11/28/2018,"b'$GRWG Revenue of $8.4 million, up 109%, compared to revenue of $4.0 million for the 3rd quarter of 2017 #Hempa https://t.co/IWVbk9lSmI'",まゆみ,,237,187,10096,13259,0.111111111,0
$HD,11/28/2018,"b'$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 milla https://t.co/2dhvh017rO'",emi💘,日本,4337,4997,65989,31745,0.2,0
$HD,11/28/2018,"b'$GRWG Revenue run rate guidance in excess of $42 million heading into 2019, $10.0 million for Q4 2018 #Hempa https://t.co/jflMeYNsez'",Prepper Living,,2291,465,7764,2113,0.1,-0.090909091
$HD,11/28/2018,"b'$GRWG Revenue run rate guidance in excess of $42 million heading into 2019, $10.0 million for Q4 2018 #Hempa https://t.co/D4DtsWXOi0'",Abbie Bernstein,Here,629,331,21718,31683,0.1,-0.090909091
$HD,11/28/2018,"b'$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 milla https://t.co/Aionx6m2i3'",Prof,Tokyo,13,68,103,53,0.266666667,0
$HD,11/28/2018,"b'$GRWG Revenue of $8.4 million, up 109%, compared to revenue of $4.0 million for the 3rd quarter of 2017 #Hempa https://t.co/GxARNMbd8d'",よしりん@また寒くなった,東京のはずれ 岐阜出身職場東京,1317,2948,186860,9783,0.3,0
$HD,11/28/2018,"b'$GRWG YTD revenue of $20 million, up 86% compare to YTD revenue of $10.7 million for 2017 #Hemp #Cannabisa https://t.co/Oyc5zruM1F'",William Looney,,103,59,28528,24267,0.2,0
$HD,11/28/2018,"b'$GRWG The Company had $14.3 million in cash and cash equivalents at September 30, 2018 #Hemp #Cannabis #Hydroponicsa https://t.co/jFvCxuTKDO'",ZOWIE パンダ広報部,東京,257,504,65219,0,0.166666667,0
$HD,11/28/2018,"b'$GRWG Three new stores acquired in Q3 2018, one of which was our new e-commerce site, https://t.co/XcWg8PnNdda https://t.co/uMeyQidwwB'",Freebies,United States,95,447,131,0,0.2,0
$HD,11/28/2018,"b'$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 milla https://t.co/6cH05Mgz1o'",こなまる@二次元性欲に満ちた受験生,ごちうさ三期,831,943,2045,1435,0,0
